State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) ",total spending
9,01/13/2020,-2.3,-6.04,-12.3,-5.39,-3.47,-3.17,-2.55,-3.57,-3.69,-40.17999999999999
25,01/13/2020,-0.218,-2.4,-14.0,-2.26,0.375,3.63,-1.77,0.377,0.299,-15.748999999999999
34,01/13/2020,-0.56,-3.86,-11.6,0.654,-0.622,4.77,1.23,0.227,1.09,-8.110999999999999
36,01/13/2020,-0.381,-3.63,-13.9,-1.45,-0.891,7.92,-0.107,-0.561,-0.276,-12.895000000000001
44,01/13/2020,-1.85,-15.0,-19.1,-5.96,-0.105,1.24,-31.2,-4.51,-9.52,-84.155
9,01/14/2020,-0.191,-2.51,-8.21,-2.08,-0.296,-2.2,2.22,-0.963,-1.53,-15.568999999999997
25,01/14/2020,1.26,-2.31,-10.0,-0.558,3.93,4.83,-0.328,2.12,-0.149,-2.4650000000000007
34,01/14/2020,0.89,-3.53,-9.32,0.165,0.367,3.31,3.22,0.339,0.352,-5.0969999999999995
36,01/14/2020,0.417,-2.34,-10.3,-0.227,0.756,10.9,-1.96,0.398,-0.0331,-2.8061000000000003
44,01/14/2020,0.0836,-12.0,-30.7,-6.85,4.16,-2.64,-25.3,-2.74,-10.6,-86.66999999999999
9,01/15/2020,0.815,-3.37,-0.0603,-0.762,0.511,2.02,-1.84,-0.601,-1.52,-5.622299999999999
25,01/15/2020,2.13,-1.9,-8.22,1.2,6.28,11.4,0.632,3.86,0.798,14.049999999999997
34,01/15/2020,1.17,-3.38,-5.41,-1.15,0.452,3.82,5.32,-0.395,-1.18,-1.922999999999999
36,01/15/2020,1.31,-1.9,-3.95,0.221,2.47,10.3,-2.62,1.55,0.532,6.6030000000000015
44,01/15/2020,1.85,-9.42,-23.2,-2.45,5.23,-6.51,-27.9,0.956,-4.05,-67.344
9,01/16/2020,0.516,-2.86,-4.95,-1.37,1.84,2.77,2.13,-0.551,-2.45,-5.441000000000001
25,01/16/2020,2.0,-0.665,-8.33,1.9,6.59,9.56,-1.7,3.92,0.468,11.742999999999999
34,01/16/2020,0.393,-3.11,-4.17,-2.53,0.683,-4.0,2.92,-0.73,-2.07,-13.007
36,01/16/2020,0.975,-1.45,-5.13,0.286,3.26,7.16,-0.122,1.86,0.345,6.209
44,01/16/2020,-2.57,-4.54,-8.42,-7.13,5.29,-10.4,-9.77,0.593,-4.88,-39.257
9,01/17/2020,0.936,-2.96,0.46,-2.78,2.43,1.2,8.39,0.658,-0.773,6.625000000000002
25,01/17/2020,0.209,-0.934,-7.22,-2.07,4.33,8.01,0.446,1.55,-2.09,2.0220000000000002
34,01/17/2020,-1.45,-3.13,-3.19,-3.94,-1.05,-1.19,1.58,-2.19,-3.26,-16.369999999999997
36,01/17/2020,-0.358,-1.01,-1.24,-2.98,0.588,0.829,1.46,-0.51,-1.72,-4.583
44,01/17/2020,-2.2,-1.43,-8.37,-1.84,9.18,-14.3,5.73,4.81,-0.296,-6.515999999999998
9,01/18/2020,0.602,-4.71,0.0372,-5.33,3.6,3.98,12.0,0.491,-1.93,8.1382
25,01/18/2020,-0.132,-2.44,-6.98,-2.37,4.37,0.0194,-1.63,1.29,-2.74,-10.480599999999999
34,01/18/2020,-0.847,-3.44,0.143,-4.82,-0.665,-1.26,2.78,-2.59,-4.46,-14.312000000000001
36,01/18/2020,-0.847,-2.4,0.2,-4.89,-1.09,-1.28,5.06,-2.81,-4.6,-11.809999999999999
44,01/18/2020,3.04,-4.23,-3.93,-1.05,6.09,-18.1,13.1,3.16,-0.387,-5.347000000000003
9,01/19/2020,0.826,-1.36,5.0,-6.53,-0.473,2.74,5.54,-2.13,-3.35,-0.5630000000000002
25,01/19/2020,0.257,-0.306,4.55,-0.837,-0.0252,1.47,4.16,-0.593,-1.26,7.158800000000001
34,01/19/2020,0.466,-0.0225,8.07,-3.1,-0.161,-1.66,3.23,-1.69,-3.1,1.566500000000001
36,01/19/2020,0.906,0.841,4.43,-1.87,-0.353,-1.2,6.7,-1.01,-1.63,5.908
44,01/19/2020,-0.225,-0.189,-4.86,2.26,0.265,-22.0,23.4,2.31,4.46,5.645999999999997
9,01/20/2020,8.65,9.09,7.57,6.7,12.2,5.6,6.39,11.7,11.2,70.45
25,01/20/2020,7.11,6.33,11.9,9.64,11.6,0.925,15.2,10.0,7.69,73.285
34,01/20/2020,3.32,3.4,9.78,1.28,5.9,3.19,3.62,3.43,1.08,31.68
36,01/20/2020,5.93,5.82,6.64,5.69,8.63,1.59,11.2,7.2,5.6,52.370000000000005
44,01/20/2020,4.44,10.1,32.6,13.3,6.07,-20.0,45.4,9.84,14.2,111.51
9,01/21/2020,8.09,6.04,16.1,4.26,8.92,3.55,10.0,7.01,5.44,61.31999999999999
25,01/21/2020,5.22,5.63,9.95,3.59,5.44,6.86,8.43,4.52,3.07,47.49
34,01/21/2020,3.87,3.17,13.0,1.19,4.06,0.247,4.44,2.44,0.812,29.359000000000005
36,01/21/2020,5.14,4.78,6.28,3.81,5.72,-0.453,11.9,4.67,3.43,40.137
44,01/21/2020,2.55,-1.44,1.84,5.34,3.21,-18.1,29.5,4.19,5.01,29.549999999999997
9,01/22/2020,6.23,4.77,6.63,2.43,5.85,-1.11,9.03,5.49,5.09,38.18000000000001
25,01/22/2020,3.96,4.76,5.72,1.94,1.54,7.27,6.2,1.96,2.13,31.52
34,01/22/2020,2.98,2.34,10.2,1.36,2.47,-2.06,1.14,1.7,0.884,18.034
36,01/22/2020,3.85,4.22,-0.0226,3.1,2.66,-1.66,11.7,2.81,2.77,25.577399999999997
44,01/22/2020,-0.573,0.0889,-8.83,5.72,-1.29,-16.1,10.1,0.131,1.49,-8.690100000000001
9,01/23/2020,5.27,6.07,13.0,1.95,4.23,6.11,14.0,3.49,2.77,51.620000000000005
25,01/23/2020,3.35,4.62,0.636,2.4,-1.97,0.58,9.4,-0.69,0.52,15.496
34,01/23/2020,2.85,2.69,12.7,1.1,1.42,-1.79,1.78,0.977,0.416,19.293
36,01/23/2020,2.73,3.06,4.94,1.79,0.388,-1.78,8.45,0.943,1.29,19.081
44,01/23/2020,1.53,9.36,-3.14,-2.26,-3.76,-14.1,-9.61,-1.42,1.07,-23.86
9,01/24/2020,4.66,8.85,3.49,3.56,7.01,4.98,7.64,4.32,2.18,42.03
25,01/24/2020,4.2,4.84,2.42,6.76,-0.51,-0.338,4.02,0.969,2.34,20.501
34,01/24/2020,4.79,3.46,11.7,3.54,5.7,-2.43,0.888,3.93,2.21,28.998
36,01/24/2020,3.2,3.24,4.64,5.55,3.23,-2.29,1.78,2.95,2.48,21.580000000000002
44,01/24/2020,1.94,14.7,-1.76,4.86,-0.889,-12.1,-24.4,3.31,8.01,-8.269
9,01/25/2020,2.69,10.8,0.618,3.31,0.43,2.18,4.4,0.516,0.496,22.749999999999996
25,01/25/2020,2.12,3.78,-0.612,4.12,-2.24,-3.28,5.4,-0.667,0.832,7.333000000000001
34,01/25/2020,2.86,3.76,11.8,2.15,2.02,-2.28,-0.924,1.84,1.65,20.016
36,01/25/2020,2.34,5.41,5.7,4.43,2.51,-3.49,0.624,2.73,2.8,20.714
44,01/25/2020,0.495,15.1,-8.98,-1.55,-2.51,-10.2,-31.3,-1.81,-1.13,-42.38
9,01/26/2020,1.33,6.95,-4.72,2.85,2.19,2.28,8.31,2.16,2.13,22.15
25,01/26/2020,1.15,1.52,-6.15,0.87,3.16,-4.77,1.19,0.762,-1.97,-5.388
34,01/26/2020,0.882,0.587,5.63,0.518,3.32,-1.23,-0.413,1.35,-0.362,9.399999999999999
36,01/26/2020,-0.234,0.345,0.852,-0.344,1.29,-3.94,1.32,0.126,-0.968,-1.3189999999999995
44,01/26/2020,0.695,13.1,1.04,2.36,2.37,-8.19,-36.2,0.153,-2.08,-27.447000000000003
9,01/27/2020,-3.8,-0.483,-10.4,-3.94,-7.95,3.07,3.12,-5.27,-3.37,-25.223
25,01/27/2020,-5.75,-4.34,-10.1,-9.19,-12.2,-4.93,-2.42,-11.9,-11.8,-66.88
